top - 15:51:12 up  4:42,  1 user,  load average: 0.75, 1.11, 0.81
Tasks: 263 total,   2 running, 261 sleeping,   0 stopped,   0 zombie
%Cpu(s): 10.3 us,  0.5 sy,  0.0 ni, 88.7 id,  0.0 wa,  0.0 hi,  0.5 si,  0.0 st
MiB Mem :  15841.9 total,  12117.1 free,   1580.9 used,   2144.0 buff/cache
MiB Swap:   5120.0 total,   5120.0 free,      0.0 used.  13191.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1035 robdres   20   0 6215520 112948  71964 S   0.0   0.7   0:03.13 QtWebEngineProc
   1053 root      20   0  239668   9132   7796 S   0.0   0.1   0:00.12 upowerd
   1063 robdres   20   0 1163048  64212  53128 S   0.0   0.4   0:00.24 QtWebEngineProc
   1322 robdres   20   0  307852   7292   6412 S   0.0   0.0   0:00.01 at-spi-bus-laun
   1328 robdres   20   0    8360   4136   3752 S   0.0   0.0   0:00.00 dbus-daemon
   1347 robdres   20   0  160948   5940   5172 S   0.0   0.0   0:00.00 at-spi2-registr
   1548 robdres   20   0 6217976 100380  73560 S   0.0   0.6   0:02.78 QtWebEngineProc
   2004 robdres   20   0  351624  13288  11108 S   0.0   0.1   0:00.02 gvfs-udisks2-vo
   2007 root      20   0  393040  12680  10452 S   0.0   0.1   0:00.03 udisksd
   2019 robdres   20   0  231000   6308   5588 S   0.0   0.0   0:00.00 gvfs-gphoto2-vo
   2023 robdres   20   0  312436   7812   6920 S   0.0   0.0   0:00.04 gvfs-afc-volume
   2028 robdres   20   0  229208   5784   5240 S   0.0   0.0   0:00.01 gvfs-goa-volume
   2032 robdres   20   0  540264  38664  31360 S   0.0   0.2   0:00.14 goa-daemon
   2039 robdres   20   0  308548   8560   7504 S   0.0   0.1   0:00.06 goa-identity-se
   2044 robdres   20   0  229096   4388   3944 S   0.0   0.0   0:00.02 gvfs-mtp-volume
   2049 robdres   20   0  311536   8816   7600 S   0.0   0.1   0:00.05 gvfsd-trash
   2082 robdres   20   0  385656   9180   7808 S   0.0   0.1   0:00.05 gvfsd-network
   2095 robdres   20   0  313628   9188   7952 S   0.0   0.1   0:00.03 gvfsd-dnssd
   2683 robdres   20   0 6234484 126424  77212 S   0.0   0.8   0:03.25 QtWebEngineProc
   7361 root      20   0       0      0      0 I   0.0   0.0   0:00.07 kworker/9:1-mm_percpu_wq
   7868 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker/3:0-events
   8369 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker/2:0-mm_percpu_wq
  12523 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker/4:0-mm_percpu_wq
  13893 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker/10:0-mm_percpu_wq
  13928 robdres   20   0  711768  69932  41268 S   0.0   0.4   0:15.76 terminator
  13953 robdres   20   0    8056   7348   3336 S   0.0   0.0   0:00.33 bash
  14301 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/1:0-events
  15356 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker/7:2-mm_percpu_wq
  15489 root      20   0       0      0      0 I   0.0   0.0   0:00.38 kworker/u24:4-events_unbound
  15500 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/8:0-cgroup_destroy
  15515 root      20   0       0      0      0 I   0.0   0.0   0:00.52 kworker/6:3-mm_percpu_wq
  15522 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/11:3
  15523 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker/11:4-mm_percpu_wq
  15549 root      20   0       0      0      0 I   0.0   0.0   0:00.21 kworker/u24:45-events_unbound
  15570 root      20   0       0      0      0 I   0.0   0.0   0:00.65 kworker/u24:66-events_power_efficient
  15573 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/126-mei_me
  15574 root      20   0       0      0      0 I   0.0   0.0   0:00.18 kworker/0:2-events
  15595 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker/0:3-events
  16101 robdres   20   0    7860   7024   3260 S   0.0   0.0   0:00.16 bash
  17638 robdres   20   0    7860   7100   3344 S   0.0   0.0   0:00.08 bash
  17708 robdres   20   0    8072   4000   3116 S   0.0   0.0   0:01.81 top
  18630 robdres   20   0   93848  18672   7248 S   0.0   0.1   0:01.85 nvim
